Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
Strongsuit,https://www.crunchbase.com/organization/speedwell-yarrow,2000000,USD,2000000,Active,"Strongsuit is a chief-of-staff for your busy household. We eliminate the mental load & stress of managing a busy career & personal life so professionals can win at work & home. Our platform provides you with a partner that gets to know you, anticipates your needs, and gets things done for you; effectively clearing your mind and to-do list. Simply put: we help you win at life.",Seed,"Columbus, Ohio, United States","Great Lakes, Midwestern US",Strongsuit is a tech-enabled chief-of-staff for your life.,2018-03-26,day,"Information Technology, Software","Information Technology, Productivity Tools, Software, Task Management",2022-10-07,245000,USD,245000,1125000,USD,1125000,"Techstars, Alumni Ventures, Rev1 Ventures, Bloomberg Beta, MGV",Private,,,,https://www.strongsuit.co,"Women Founded, Women Led",,,,,,For Profit,,,https://www.linkedin.com/company/strongsuit,,,,,,,,,,,,,,,,,,,,,,,2,"Ashley Lambrix, Lindsey Michaelides",1-10,4,Seed,245000,USD,245000,Seed,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,"7,243","7,221",,8.8,9.1,9.1,2,"Management, Marketing, Operations, Support",7,,,,,,,,,,,,,,5,,,,,,,,,,,,
Lexion,https://www.crunchbase.com/organization/lexion,15200000,USD,15200000,Active,"Lexion is an incredibly easy-to-use contract management system. We’re on a mission to make legal teams highly productive and happy, by accelerating contract review and eliminating busy work through automation and AI. We use best-in-class natural language processing technologies to make it 100x easier for legal teams to find what’s in their contracts and automatically stay organized. Best of all, Lexion’s email-centric approach, and legacy contract onboarding, make implementation and adoption easy.  We built Lexion at Microsoft co-founder Paul Allen’s artificial intelligence research institute (AI2) and we’re backed by the same investors that funded OpenAI (Khosla Ventures), helped launch Amazon (Madrona Venture Group) and have advised Google (Wilson Sonsini). With a top-notch and experienced team from Microsoft, Facebook, Google, and Amazon, we built a company that CB Insights ranked the #1 most promising AI legal tech startup in the world two years in a row (2020, 2021). Most importantly, fantastic brands trust Lexion to manage their contracts: Outreach, OfferUp, Blue Nile, and many more.",Series A,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Lexion is an incredibly easy to use contract management system,2019-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence, Information Technology, SaaS, Software",2021-06-17,11000000,USD,11000000,15200000,USD,15200000,"Madrona, Khosla Ventures, Wilson Sonsini Goodrich & Rosati",Private,,,,https://www.lexion.ai/,,,,,,,For Profit,https://twitter.com/lexionai,,https://www.linkedin.com/company/lexion-ai/,company@lexion.ai,,10,,,,,,,,,,,,,,,,,,,,2,"Emad Elwany, Guarav Oberoi",51-100,2,Early Stage Venture,11000000,USD,11000000,Series A,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,"7,244","7,222",,-0.4,-0.7,5.9,10,"Engineering, Finance, Legal, Management, Marketing, Medical & Science, Operations, Product, Sales",19,,"15,682","8,972.33",168.34%,55,358.33%,1.34,-9.84%,65.95%,-10.3%,"1,482,194","-1,300,351",-46.73%,25,,,,,,,,,,,,
Teal,https://www.crunchbase.com/organization/teal-d505,11300000,USD,11300000,Active,"Teal helps individuals advocate for themselves and build meaningful careers. The company provides content, tools, and support to help people navigate change and drive their careers. Teal is headquartered in Miami, FL.",Seed,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US","A personal career growth platform that gives you the tools, skills, & recommendations you need to accelerate your career.",2019-11-01,month,"Education, Other, Professional Services","Career Planning, Personal Development, Professional Services",2022-06-06,6300000,USD,6300000,11300000,USD,11300000,"Gaingels, Alumni Ventures, Pareto Holdings, Lerer Hippeau, Four Cities Capital",Private,,,,https://www.tealhq.com/,,,,,,,For Profit,https://twitter.com/teal_hq,https://www.facebook.com/TealLabs/,https://www.linkedin.com/company/tealhq/,hello@tealhq.com,,9,,,,,,,,,,,,,,,,,,,,1,David Fano,11-50,2,Seed,6300000,USD,6300000,Seed,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,"7,255","7,233",,-0.6,0,4.6,1,"Engineering, Management, Marketing, Operations",7,,"404,419","254,602.33",9.63%,662,-23.56%,1.77,-9.59%,70.09%,24.43%,"144,173","-11,827",-7.58%,65,,,,,,,,,,,,
Got It AI,https://www.crunchbase.com/organization/got-it,22475000,USD,22475000,Active,"Put the most advanced, award-winning, Autonomous Conversational AI to work for you. Fast, Cost Efficient: Automatic generation and easy visualization of dialog paths unique to your customer journeys with no manual work Invest Confidently: Upfront containment estimates with verification of virtual agent dialog paths to trust the automation approach Future proof Flexibility: Virtual agents can be deployed in Got It AI's open source based NLU/Dialog Manager or popular 3rd party NLU/Dialog Managers Scalable, Secure and Flexible Deployments per your Compliance Standards Recognized as a leader in Conversational AI for providing automation in days and not months, Got It AI enables next generation of Virtual Agents that automate unique CX journeys for each enterprise.",Series A,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Got It AI introduces Autonomous Conversational AI. Generative AI to AutoDiscover your unique Virtual Agent!,2019-01-01,year,"Administrative Services, Artificial Intelligence, Community and Lifestyle, Data and Analytics, Mobile, Other, Science and Engineering, Software","Artificial Intelligence, Knowledge Management, Machine Learning, Mobile, Q&A, SaaS",2020-07-01,10000000,USD,10000000,22325000,USD,22325000,"Intel Capital, TSVC, Capricorn Investment Group, Fosun RZ Capital, 9+ Program",Private,,,,https://www.got-it.ai,,$10M to $50M,,,,,For Profit,https://twitter.com/GotIt_AI,,https://www.linkedin.com/company/gicrmai,info@got-it.ai,,7,,,,,,,,,,,,,,,,,,,,6,"Amol Kelkar, Chandra Khatri, David Chu, Hung Tran, James Cremer, Peter Relan",11-50,7,Early Stage Venture,10000000,USD,10000000,Series A,2,9,,,,,,,,,,,,,,,,,,,,,,,,,2,"7,279","7,257",,-0.7,-0.5,3,9,"Engineering, Finance, Management, Medical & Science, Operations, Product",13,,"1,216,926","952,552.33",14.49%,864,136.71%,1.1,2.24%,92.43%,-2.87%,"61,976","-7,076",-10.25%,72,,,20,0,4,,Scientific and technological services,,,,,
Nabis,https://www.crunchbase.com/organization/nabis,50000000,USD,50000000,Active,"Nabis is a licensed cannabis wholesale marketplace that distributes cannabis products to retailers. It provides a lightning-fast distribution, sales, marketing, financing, and data analytics services. The company's technology coordinates the entire cannabis distribution lifecycle from production to delivery.",Undisclosed,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Nabis is the #1 licensed cannabis wholesale marketplace.,2018-03-01,month,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Transportation","Cannabis, Logistics, Marketplace",2022-05-01,4000000,USD,4000000,45000000,USD,45000000,"Gaingels, Y Combinator, FJ Labs, Soma Capital, Liquid 2 Ventures",Private,,,,https://www.nabis.com,"East Asian Founded, East Asian Led",,,,,,For Profit,https://twitter.com/GetNabis,https://www.facebook.com/getnabis,https://www.linkedin.com/company/getnabis,contact@nabis.com,,21,,,,,,,,,,,,,,,,,,,,2,"Jun S. Lee, Vincent Ning",251-500,6,,4000000,USD,4000000,Undisclosed,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,"7,280","7,258",,0.6,-0.4,1.7,10,"Engineering, Finance, Human Resources, Management, Marketing, Medical & Science, Operations, Product, Sales",42,,"14,092","14,749.17",-16.09%,76,-96.98%,1.53,-32.65%,64.65%,-4.63%,"1,568,153","123,254",8.53%,61,,,14,,,,,,,,,
Symbl.ai,https://www.crunchbase.com/organization/rammer-ai,23620000,USD,23620000,Active,"Symbl.ai is an early-stage, venture-backed startup that is democratizing access to conversational intelligence for developers. They have developed the only platform that uses machine learning to analyze conversations in real-time proactively. The company aims to eliminate the complexity of building and maintaining conversational understanding systems so that developers can focus on building delightful and productive experiences, using Rammer’s underlying technology. It was founded in 2018 and is headquartered in Seattle, Washington.",Series A,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US","Symbl.ai is an early-stage, venture-backed startup that is democratizing access to conversational intelligence for developers.",2018-05-05,day,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence, Developer APIs, Information Technology",2021-11-05,17000000,USD,17000000,23620000,USD,23620000,"Techstars, TechNexus Venture Collaborative, GreatPoint Ventures, Crosscut Ventures, Bossanova Investimentos",Private,,,,https://symbl.ai,"South Asian Founded, South Asian Led, Women Founded, Women Led",,,,,,For Profit,https://twitter.com/symbldotai,https://www.facebook.com/symbldotai/,https://www.linkedin.com/company/symblai/,founders@symbl.ai,+1 408 660 0710,12,,,,,,,,,,,,,,,,,,,,2,"Surbhi Rathore, Toshish Jawale",51-100,5,Early Stage Venture,17000000,USD,17000000,Series A,4,21,,,,,,,,,,,,,,,,,,,,,,,,,1,"7,288","7,266",,1.4,2,3.1,6,"Engineering, Management, Marketing, Medical & Science, Operations, Product",22,,"85,791","34,825.67",295.55%,"1,177",169.34%,2.08,-8.48%,53.99%,2.2%,"453,175","-809,596",-64.11%,21,,,30,,,,,,,,,
itselectric,https://www.crunchbase.com/organization/itselectric,2200000,USD,2200000,Active,,Pre-Seed,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Electric vehicle charging specifically designed for the millions of drivers who park their cars on city streets.,2021-07-05,day,"Energy, Sustainability, Transportation","Clean Energy, CleanTech, Electric Vehicle, Power Grid",2022-05-01,2200000,USD,2200000,2200000,USD,2200000,"The Helm, Brooklyn Bridge Ventures, Clean Energy Venture Group, Graham & Walker, XFactor Ventures",Private,,,,https://itselectric.us/,,,,,,,For Profit,https://twitter.com/itselectric_co,,https://www.linkedin.com/company/itselectric/,nathan@itselectric.us,,8,,,,,,,,,,,,,,,,,,,,2,"Nathan King, Tiya Gordon",1-10,1,Seed,2200000,USD,2200000,Pre-Seed,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,"7,298","7,276",,1.9,8.9,9,3,Operations,1,,"1,704","1,468.67",-50.74%,0,275%,1,-25%,100%,49.99%,"5,329,289","1,584,917",42.33%,3,,,,0,0,,Building; repairs,,,,,
Circulo Health,https://www.crunchbase.com/organization/circulo-health,50000000,USD,50000000,Active,"Circulo Health is a Medicaid insurance company of the future, providing tech-enabled care to the sickest and poorest populations. Circulo is based in Columbus, Ohio, the emerging insurtech capital of the U.S.",Series A,"Columbus, Ohio, United States","Great Lakes, Midwestern US","Circulo Health is a Medicaid insurance company of the future, providing tech-enabled care to the sickest and poorest populations.",2020-01-01,year,"Financial Services, Health Care","Health Care, Insurance, InsurTech",2021-02-19,50000000,USD,50000000,50000000,USD,50000000,"General Catalyst, Drive Capital, Oak HC/FT, SVB Capital",Private,,,,https://www.circulohealth.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/circulohealth,mike@circulohealth.com,,4,,,,,,,,,,,,,,,,,,,,1,Sean Lane,11-50,1,Early Stage Venture,50000000,USD,50000000,Series A,1,4,,,,,,,,,,,,,,,,,,,,,,,,2022-06-16,,"7,322","7,300",,0.6,-0.3,-0.1,10,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical & Science, Operations, Product",58,,"3,724","4,652.83",-27.8%,0,991.67%,1,-18.36%,100%,29.03%,"3,497,572","532,246",17.95%,70,,,,,,,,,,,,
Steno,https://www.crunchbase.com/organization/steno,45542455,USD,45542455,Active,"Steno offers court reporting and other litigation support services on a deferred-payment, non-recourse basis. It aims to improve the litigation process—offering dependable court reporting with undeniable innovation and exceptional customer service. Steno was founded in 2018 and is headquartered in Los Angeles, California.",Venture - Series Unknown,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Steno offers court reporting and litigation support services which is all available through a deferred-payment system.,2018-12-01,month,"Financial Services, Information Technology, Payments, Professional Services, Software","Document Management, Legal, Legal Tech, Payments",2022-12-20,19042455,USD,19042455,25542455,USD,25542455,"Alumni Ventures, First Round Capital, Moving Capital, Human Ventures, Rivonia Road Capital",Private,,,,https://steno.com,,,,,,,For Profit,https://twitter.com/steno_reporters,https://www.facebook.com/stenocourtreporting/,https://www.linkedin.com/company/steno-inc,concierge@steno.com,888.707.8366,5,,,,,,,,,,,,,,,,,,,,3,"Dan Anderson, Dylan Ruga, Greg Hong",11-50,6,,19042455,USD,19042455,Venture - Series Unknown,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,"7,334","7,312",,0.3,1.5,4.9,1,"Engineering, Finance, Information Technology, Management, Marketing, Medical & Science, Operations, Product, Sales",48,,"14,013","15,654",79.58%,29,-40.82%,2.08,68.85%,70.63%,-8.27%,"1,572,373","-677,742",-30.12%,67,,,,0,2,,Legal services,,,,,
Arist,https://www.crunchbase.com/organization/arist,16055000,USD,16055000,Active,"Arist is a tool that helps enterprise L&D and HR teams rapidly create, deliver, and analyze message-based courses, which are bite-size learning experiences delivered in the flow of SMS, Slack, and MS Teams. Along with saving over $200/employee/year with more efficient training, Arist helps companies create and track clear behavior change and performance improvement outcomes while delivering learning with an NPS of >90 and adoption rates that are 5x higher than traditional learning tools.",Series A,"Cumberland, Rhode Island, United States","East Coast, New England, Northeastern US","Arist helps companies deliver learning, training, and nudges in the flow of work via Teams, Slack, and text message-based courses.",2018-10-20,day,"Education, Information Technology, Internet Services, Messaging and Telecommunications, Software","E-Learning, Education, Messaging",2022-07-12,12000000,USD,12000000,16055000,USD,16055000,"Y Combinator, Global Founders Capital, Rebel Fund, Hack VC, Soma Capital",Private,,,,https://www.arist.co,,,,,,,For Profit,,https://www.facebook.com/LearnArist,https://www.linkedin.com/company/aristu,founders@arist.co,401-374-5780,6,,,,,,,,,,,,,,,,,,,,4,"Maxine Anderson, Michael Ioffe, Riley Wilson, Ryan Laverty",11-50,5,Early Stage Venture,12000000,USD,12000000,Series A,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,"7,339","7,317",,-0.5,5.1,4.7,10,"Engineering, Management, Operations",8,,"6,582","12,500.17",-73.41%,589,378.86%,1.42,-26.8%,58.16%,77.75%,"2,443,776","1,291,079",112.01%,60,,,,,,,,,,,,
Artie,https://www.crunchbase.com/organization/artie,36500000,USD,36500000,Active,"Artie is a next-gen mobile gaming platform. We're on a mission to redefine the mobile gaming experience for players and improve the economics of mobile games for developers. Our Unity-compatible technology enables high-quality games to be played instantly inside social media apps like TikTok, Instagram, YouTube, Discord, and Twitter without an app download and no app store fees for developers. Artie's platform also unlocks ownable game assets for players (Web3/NFTs), offering a truly interoperable experience between games in the Artie ecosystem and beyond. The Artie team is from Riot Games, Activision/Blizzard, EA, Zynga, King, Glu Mobile, Playtika, Jam City, Playstation, Tencent, Amazon, Meta, Snap, SpaceX, Coinbase, Lyft, and Disney.   Our investors include Digital; YouTube founder Chad Hurley; Zynga founder Mark Pincus; Kevin Durant & Rich Kleiman; Naomi Osaka; Nick & Joe Jonas; Tyler & Cameron Winklevoss; Cyan Banister; Warner Music Group; Allen & Company; Harris Blitzer Sports & Entertainment; Roblox Chief Product Officer, Manuel Bronstein; and former Disney D2C Chairman and TikTok CEO, Kevin Mayer.",Series A,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Redefining the mobile gaming experience for players and improving the economics of mobile games for developers.,2019-01-01,month,"Gaming, Internet Services, Media and Entertainment, Mobile, Other","Blockchain, Digital Entertainment, Gaming, Mobile, Social Media",2021-10-15,25500000,USD,25500000,36500000,USD,36500000,"Warner Music Group, Digital Currency Group, FJ Labs, Harris Blitzer Sports & Entertainment, Founders Fund",Private,,,,https://www.artie.com/,,,,,,,For Profit,https://twitter.com/theartieverse,,https://www.linkedin.com/company/artie/,hello@artie.com,,,,,,,,,,,,,,,,,,,,,,2,"Armando Kirwin, Ryan Horrigan",11-50,2,Early Stage Venture,25500000,USD,25500000,Series A,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,"7,340","7,318",,0.4,1.2,4.5,10,"Engineering, Management, Marketing, Medical & Science, Operations, Product",15,,"11,040","12,499.5",234.24%,20,-88.28%,1.13,12.55%,87.44%,-12.56%,"1,787,599","-2,052,456",-53.45%,19,,,,1,4,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,
SLUSHY,https://www.crunchbase.com/organization/slushy,4000000,USD,4000000,Active,"SLUSHY is a secure mobile web based platform for content creators to find, grow, & monetize their audiences. A creator first, tech-driven tool, designed with key discoverability features and audience insights. In a market where existing solutions (OnlyFans, Patreon) fall short of their creators' demands, SLUSHY provides an alternative solution for professional content creators that prioritizes their monetization, support and management needs. SLUSHY incorporates a powerful legal framework, with robust compliance tools including simplified consent, ID verification, and content moderation. The new home of unrestricted content, SLUSHY is here.",Seed,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US","SLUSHY is a secure mobile web based platform for content creators to find, grow, & monetize their audiences.",2020-01-01,year,,,2022-07-01,1250000,USD,1250000,4000000,USD,4000000,"Pareto Holdings, Edward Lando, KepalaBergetar TV, Electric Feel Ventures",Private,,,,http://www.slushy.com,,,,,,,For Profit,,,https://www.linkedin.com/company/slushydotcom,support@slushy.com,,4,,,,,,,,,,,,,,,,,,,,4,"David Gross, Fred Spivock, Josh Metz, Sophia Noel",11-50,3,Seed,1250000,USD,1250000,Seed,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,"7,346","7,324",,-0.5,-0.4,3.6,9,,,,"872,177","517,359",46.23%,339,346.05%,1.26,10.77%,82.12%,-8.09%,"80,706","-27,271",-25.26%,43,,,,,,,,,,,,
Lumotive,https://www.crunchbase.com/organization/lumotive-llc,13000000,USD,13000000,Active,"Lumotive is a startup company developing high-performance, solid-state lidar for autonomous systems in the automotive, UAV, robotics, and related industries. The company's revolutionary beam-steering technology leverages Liquid Crystal Metasurfaces (or LCMs) implemented in mature semiconductor manufacturing processes to deliver small, inexpensive 3D perception systems with unprecedented performance and reliability.",Venture - Series Unknown,"Redmond, Washington, United States","Greater Seattle Area, West Coast, Western US","Lumotive is developing high-performance, solid-state lidar for autonomous systems in the automotive, UAV, robotics, and related industries.",2018-01-01,day,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software, Transportation","Autonomous Vehicles, Drones, Electronics, Robotics, Sensor",2023-01-03,13000000,USD,13000000,13000000,USD,13000000,"USAA, Samsung Ventures, Bill Gates, Gates Ventures, Himax Technologies",Private,,,,https://www.lumotive.com,,$1M to $10M,,,,,For Profit,https://twitter.com/lumotivelidar,,https://www.linkedin.com/company/lumotive,info@lumotive.com,,4,,Yes,,,,,,,,,,,,,,,,,,2,"Bill Colleran, Gleb Akselrod",11-50,4,,13000000,USD,13000000,Venture - Series Unknown,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,"7,347","7,325",,-0.1,-1.8,9.7,9,"Engineering, Management, Marketing, Operations, Sales",16,,"4,500",,78.08%,332,"3,588.89%",2.82,57.99%,50.67%,132.86%,"3,167,156","-1,171,023",-26.99%,27,2,72,,,,,,128988,USD,128988,,
Parse Biosciences,https://www.crunchbase.com/organization/split-biosciences,49962500,USD,49962500,Active,"Parse Bio is a biotechnology startup company developing single-cell sequencing kit solutions for researchers. By using combinatorial cDNA barcoding within cells themselves, Parse Biosciences’s technology allows researchers to eliminate the need for complex and expensive microfluidic instruments. Additionally, the company’s technology enables samples to be fixed, frozen, and stored, allowing researchers to separate out the sample extraction from downstream library preparation steps. This capability empowers researchers to run fixed samples collected on different dates together in a single experiment, providing greater control over sample handling and reducing handling errors. Split Biosciences rebranded as Parse Biosciences in 2020. The Seattle, Washington-based biotech company was established in 2018 by Alex Rosenberg, Charlie Roco, and Georg Friedrich Seelig.",Series B,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Parse Biosciences is a biotechnology startup company that develops single-cell sequencing kit solutions for researchers.,2018-01-01,year,"Biotechnology, Data and Analytics, Health Care, Science and Engineering","Bioinformatics, Biotechnology, Genetics, Life Science",2022-02-15,41500000,USD,41500000,49737500,USD,49737500,"National Science Foundation, Janus Henderson Investors, Marshall Wace, Soleus Capital, Logos Capital",Private,,,,https://www.parsebiosciences.com,,,,,,,For Profit,https://twitter.com/parsebio,,https://www.linkedin.com/company/parse-biosciences,info@parsebiosciences.com,,11,,,,,,,,,,,,,,,,,,,,3,"Alex Rosenberg, Charles Roco, Georg Friedrich Seelig",11-50,4,Early Stage Venture,41500000,USD,41500000,Series B,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,"7,357","7,335",,-0.4,-0.5,2.2,13,"Management, Medical & Science, Operations, Sales",13,,"13,585","10,655.67",37.18%,4,-98.6%,1.07,-60.7%,93.44%,30.72%,"1,596,462","-343,222",-17.69%,6,,,,0,2,,Chemical substances,,,,,
iCashe,https://www.crunchbase.com/organization/icashe,2399994,USD,2399994,Active,iCashe develops a payment gateway platform designed to offer secure banking transaction services. Its platform provides a digital wallet to make banking simple and transparent and exterminates all the hesitation and discomfort related to banking by offering an effortless and rewarding experience.,Venture - Series Unknown,"Portland, Oregon, United States","West Coast, Western US",iCashe develops a payment gateway platform designed to offer secure banking transaction services.,2020-01-01,year,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, FinTech, Payments",2023-03-03,2399994,USD,2399994,2399994,USD,2399994,,Private,,,,https://icashe.com/,,,,,,,For Profit,,,,,5032263939,,,,,,,,,,,,,,,,,,,,,1,Siva Narendra,,1,,2399994,USD,2399994,Venture - Series Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,366","7,344",,-1.1,9.6,9.7,40,,,,,,,,,,,,,,,,16,,,,50,1,Computing; Calculating,Advertising; business,,,,,
Searchlight,https://www.crunchbase.com/organization/searchlight-057a,19500000,USD,19500000,Active,"​​Searchlight's Predictive Talent Platform provides assessments and analytics help companies improve hiring efficiency and effectiveness. Searchlight’s powerful People Science Engine measures and improves Quality of Hire by connecting candidate reference and self-assessment data to post-hire outcomes. Searchlight’s connected talent intelligence system pulls employee outcome data – such as enablement, performance, belonging– back into the recruiting process to surface predictive signals like competencies and soft skills. These real-time insights enable organizations to continuously learn as they hire and retain the right people. Searchlight is on a people-first mission to make hiring a win-win for everyone by understanding talent better.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",A Predictive Talent Platform that improves hiring efficiency & Quality of Hire by connecting talent assessments & analytics to outcomes,2018-01-01,year,"Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Enterprise Software, Machine Learning, Predictive Analytics, Recruiting, SaaS, Software",2021-12-20,17000000,USD,17000000,19500000,USD,19500000,"Kapor Capital, Y Combinator, Accel, Shasta Ventures, Founders Fund",Private,,,,https://www.searchlight.ai/,"East Asian Founded, East Asian Led, Women Founded, Women Led",,,,,,For Profit,https://twitter.com/searchlight_ai,https://www.facebook.com/searchlightai,https://www.linkedin.com/company/searchlight-technologies/,hello@searchlight.ai,(415) 727-7737,11,,,,,,,,,,,,,,,,,,,,2,"Anna X. Wang, Kerry Wang",11-50,2,Early Stage Venture,17000000,USD,17000000,Series A,2,11,,,,,,,,,,,,,,,,,,,,,,,,,1,"7,373","7,351",,0,0,-0.8,7,"Engineering, Management, Operations, Sales",8,,"9,554","16,377.17",-67.26%,719,320.47%,1.33,22.79%,83.33%,-12.91%,"1,970,467","972,623",97.47%,75,2,,26,,,,,,,,,
Tumble,https://www.crunchbase.com/organization/tumble,8750500,USD,8750500,Active,"Tumble is a smart laundry technology platform transforming shared laundry rooms into high-quality smart amenities. Tumble provides real-time availability of machines, cashless payment, cycle tracking notifications, a locking mechanism for the dryer, and live-chat with residents. This equals higher satisfaction, faster leasing, and increased property NOI.",Seed,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Tumble is a smart laundry technology platform transforming shared laundry rooms into high-quality smart amenities.,2019-06-24,day,"Clothing and Apparel, Internet Services, Mobile, Software","Internet of Things, Laundry and Dry-cleaning, Mobile, Software",2022-10-05,7000000,USD,7000000,7250500,USD,7250500,"The PenFed Foundation, Western Technology Investment, Array Ventures, Hivers and Strivers, Zag Capital",Private,,,,https://tumble.to,,,,,,,For Profit,https://twitter.com/tumblelaundry,,https://www.linkedin.com/company/tumblelaundry,support@tumble.to,(415) 660-8667,10,,,,,,,,,,,,,,,,,,,,1,Scott Patterson,11-50,3,Seed,7000000,USD,7000000,Seed,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,"7,393","7,371",,0.7,6.2,3.2,10,"Engineering, Management, Operations",5,,437,"15,087.17",-99.44%,0,,1,-61.82%,100%,49.99%,"7,891,191","7,393,954","1,487.01%",32,1,,,0,3,,Scientific and electric apparatus and instruments,,,,,
